id;raison_sociale;mobile;mail;latitude;longitude;type;categorie;marque;adresse;code_postale;commune;telephone;internet;tourisme
31063;Les Fondues de la Daurade;;;43.6018533;1.4400714;restaurant;;Salades Géantes - Grillades - Raclette à Volonté; ;;;33561120404;;
31064;Monsieur Tout Le Monde;;;43.6024958;1.4412894;restaurant;;; ;;;33561232011;;
31065;La Maison du Nems;;;43.6029079;1.4417926;restaurant;asian;; ;;;;;
31066;SushiYaki;;;43.6018041;1.4421762;restaurant;japanese;; ;;;;;
31067;Le Taj;;;43.6017352;1.440893;restaurant;indian;; ;;;33561218444;www.restaurant-taj.fr/;
31068;La Petite Gouaille;;;43.6016063;1.4408263;restaurant;;; ;;;;;
31069;Le Poisson Vagabond;;;43.6015494;1.4407998;restaurant;;; ;;;;;
31070;Le Solilesse;;;43.6013635;1.4407281;restaurant;french;; ;;;;www.solilesse.com;
31071;Le Shaman;;;43.6099445;1.4392299;restaurant;indian;; ;;;;;
31072;Le Mange-Tout;;;43.6091335;1.4390825;restaurant;regional;; ;;;;;
31073;La Gaîté!;;;43.609304;1.4387168;restaurant;french;; ;;;;www.la-gaite.com/;
31074;Mamie et les Ours;;;43.6091938;1.4389973;restaurant;regional;; ;;;33561215533;;
31075;Bois et Charbon;;;43.6047665;1.4547253;restaurant;;; ;;;;;
31076;Le Craquelin;;;43.5651774;1.3885337;restaurant;;; ;;;;;
31077;Tourneflam;;;43.5731679;1.3828753;restaurant;;; ;;;;;
31078;Metrhotel;;;43.5696541;1.389785;restaurant;;; ;;;;;
31079;Le Cri de la Truffe;;;43.5984964;1.4438251;restaurant;;; ;;;;;
31080;Le 7ième Ciel;;;43.5984924;1.443704;restaurant;;; ;;;;;
31081;Sazio;;;43.5984049;1.4429975;restaurant;;; ;;;;;
31082;La Maison du Cassoulet;;;43.6059585;1.4480901;restaurant;;; ;;;;;
31083;Hippopotamus;;;43.6058692;1.448176;restaurant;;; ;;;;;
31084;L'Épicurien;;;43.6006098;1.4514356;restaurant;;Restaurant - Salon de Thé; ;;;;;
31085;Epilogue;;;43.6006259;1.4513418;restaurant;french;; ;;;;www.epilogue-brasserie.fr/;
31086;La Grillée;;;43.6005225;1.4508244;restaurant;;; ;;;;;
31087;L'Aubrac;;;43.6044013;1.451322;restaurant;regional;; ;;;;;
31088;Le Kyoto;;;43.5702386;1.4553913;restaurant;;; ;;;;;
31089;Le Brennus;;;43.5747479;1.4515229;restaurant;french;; ;;;;;
31090;;;;43.5798874;1.4494288;restaurant;;; ;;;;;
31091;Le beaucoup;;;43.5998884;1.441016;restaurant;;; ;;;;;
31092;Brasserie des Beaux-Arts;;;43.5997607;1.4405802;restaurant;french;; ;;;;;
31093;Le Genty Magre;;;43.6015089;1.445231;restaurant;;; ;;;33561213860;www.legentymagre.com/;
31094;Le Fifteen;;;43.6108387;1.374142;restaurant;;; ;;;;;
31095;;;;43.5715122;1.3869742;restaurant;;; ;;;;;
31096;La Mounède;;;43.5729447;1.3795401;restaurant;;; ;;;;;
31097;Chez Fazoul;;;43.5984722;1.4472035;restaurant;regional;; ;;;;;
31098;Chez Navarre;;;43.5969182;1.447434;restaurant;regional;; ;;;;;
31099;Le Partage;;;43.5969773;1.4500841;restaurant;decoration;; ;;;;;
31100;O Saj;;;43.6030745;1.4418833;restaurant;;lebanese; ;;;;;
31101;Le Mangevins;;;43.5967134;1.4443878;restaurant;;; ;;;;;
31102;La Braisière;;;43.5965905;1.4443862;restaurant;;; ;;;;;
31103;Le Nez Rouge;;;43.5978881;1.4421515;restaurant;;; ;;;;;
31104;Le Petit Bacchus;;;43.5956092;1.4442186;restaurant;;; ;;;;;
31105;Restaurant Zio;;;43.5946975;1.4431769;restaurant;;; ;;;;;
31106;Tatie Danielle;;;43.5945342;1.4428044;restaurant;;; ;;;;;
31107;Casa Caruzo;;;43.5947728;1.4435862;restaurant;italian;; ;;;;;
31108;L'Avant-Scène;;;43.6002964;1.4351828;restaurant;;; ;;;;;
31109;Restaurant L'Hémicycle;;;43.6013523;1.4302415;restaurant;;; ;;;;;
31110;Le Chog Qing;;;43.605417;1.4539787;restaurant;chinese;; ;;;;;
31111;Le Looping;;;43.6053474;1.4555573;restaurant;hallal;; ;;;;;
31112;La Bonita;;;43.5902539;1.4456921;restaurant;;; ;;;;;
31113;Le Patio de la Table Ronde;;;43.6044193;1.4392158;restaurant;;; ;;;;;
31114;Au bon Graillou;;;43.6069329;1.4464512;restaurant;;; ;;;;;
31115;Le Louchebem;;;43.606762;1.4464804;restaurant;regional;; ;;;;;
31116;Le Magret;;;43.6065872;1.4465126;restaurant;regional;; ;;;;;
31117;Chez Attila;;;43.6064007;1.4465502;restaurant;;; ;;;;;
31118;L'Impériale;;;43.6061832;1.4466038;restaurant;;; ;;;;;
31119;Pizza Pino;;;43.605216;1.4469368;restaurant;pizza;; ;;;;;
31120;Brasserie Le Capoul;;;43.6050916;1.4468081;restaurant;;; ;;;;;
31121;Cafétéria Casino;;;43.5875374;1.4617408;restaurant;;; ;;;;;
31122;Saveur Bio;;;43.6037167;1.4495811;restaurant;;; ;;;;;
31123;Pena Tolosa;;;43.5982513;1.4442547;restaurant;regional;; ;;;;;
31124;Bat Bat;;;43.5981939;1.4442648;restaurant;asian;; ;;;;;
31125;La Mezzee;;;43.5980735;1.4442935;restaurant;turkish;; ;;;;;
31126;Bistro des Carmes;;;43.5980191;1.4441672;restaurant;french;; ;;;;;
31127;L'Inde;;;43.5983363;1.4442439;restaurant;indian;; ;;;;;
31128;;;;43.5659653;1.500208;restaurant;;; ;;;;;
31129;King Fat;;;43.5685798;1.4980939;restaurant;asian;; ;;;;;
31130;Le Bistrot de Thibaud;;;43.5450688;1.3973361;restaurant;;; ;;;;;
31131;Le Cardailhac;;;43.5975645;1.4483384;restaurant;;; ;;;;;
31132;Les Mascareignes;;;43.6191789;1.4368828;restaurant;Antillaise;; ;;;33561226012;www.lesmascareignes.fr/;
31133;L'Astrier;;;43.5694274;1.5034029;restaurant;;; ;;;;;
31134;Le 116;;;43.5664643;1.5002649;restaurant;;; ;;;;;
31135;Don Pancho;;;43.6133509;1.4380219;restaurant;spanish;;41 Avenue Honoré Serres;31000;;;;
31136;Le jardin de Chine;;;43.6132109;1.438061;restaurant;chinese;;39 bis Avenue Honoré Serres;31000;;;;
31137;Les Fous de Saint-Georges;;;43.6019798;1.4484439;restaurant;regional;; ;;;33561217870;;
31138;Saveurs Gourmandes;;;43.6156427;1.4217842;restaurant;;; ;;;;;
31139;Le May;;;43.6020311;1.4427434;restaurant;french;; ;;;33561239876;lemay-toulouse.fr/;
31140;Pastel et Sarrasin;;;43.6073647;1.4420024;restaurant;crepe;; ;;;33561239398;;
31141;Pizza Martine Saint-Exupéry;;;43.5871013;1.4619155;restaurant;pizza;;18;;;;;
31142;Le Midi à l'Impasse;;;43.5666828;1.4914391;restaurant;;; ;;;33561548912;;
31143;Café à la Une;;;43.6168025;1.4728119;restaurant;;;124 Rue Louis Plana;31500;Toulouse;;www.cafe-a-la-une.com/;
31144;Brasserie de la Dépêche;;;43.581782;1.3890624;restaurant;;; ;;;;;
31145;Addiction Pizza;;;43.6205488;1.4576845;restaurant;pizza;; ;;;;;
31146;JEM;;;43.5705002;1.4206254;restaurant;;; ;;;;www.jem-goodfood.fr/;
31147;Le Barrié;;;43.6081866;1.446374;restaurant;french;; ;;;;;
31148;Sodexo;;;43.5636751;1.3846993;restaurant;;; ;;;;;
31149;Le Sherpa;;;43.6066829;1.4424699;restaurant;pancake;; ;;;;;
31150;La Romantica;;;43.6337413;1.4330233;restaurant;italian;;11 bis Avenue de Fronton;31200;;;;
31151;Crêperie De La Colombette;;;43.6045168;1.4525584;restaurant;;;32 Rue de la Colombette;;;;;
31152;Pizzeria Vecchio;;;43.605792;1.449395;restaurant;;Pas de toilettes accessibles chaise roulante;22 Allée Jean Jaurès;;;;;
31153;Flunch;;;43.606036;1.449755;restaurant;french;; ;;;;;
31154;L'atelier 65;;;43.5970811;1.43109;restaurant;;; ;;;;;
31155;Le petit gerçois;;;43.5952306;1.4355533;restaurant;regional;; ;;;;;
31156;Le salon rouge;;;43.5655811;1.4055936;restaurant;chinese;; ;;;;;
31157;Chez Moi;;;43.596404;1.456781;restaurant;vietnamese;;28 rue port saint-sauveur;31000;;;www.chezmoi.fr/;
31158;L'afro;;;43.5978422;1.4579826;restaurant;international;;2 Ter Avenue Jean rieux;31500;;;;
31159;Flower's Café;;;43.6029609;1.4450986;restaurant;sandwich;;6 Place Roger Salengro;31000;;;;
31160;Restaurant CNRS;;;43.5566509;1.4634495;restaurant;;; ;;;;;
31161;Pat & Pizz;;;43.5966344;1.4732399;restaurant;pizza;; ;;;33561349880;www.patetpizz.fr;
31162;Le Bouchon Lyonnais ? Laurent Orsi;;;43.6051135;1.4510363;restaurant;french;; rue de l'industrie;;;;www.le-bouchon-lyonnais.com/;
31163;La Noria;;;43.6322669;1.4518055;restaurant;french;;24-26 Avenue Maurice Bourgès-Maunoury;31200;Toulouse;33951960918;lanoria-toulouse.fr;
31164;Oh Fada !;;;43.6157644;1.4740141;restaurant;pizza;; ;;;;www.pizzaohfada.fr/;
31165;Taverne de Brennus;;;43.6070968;1.4512769;restaurant;;;54 Allées Jean Jaurès;;;+33.5.62.73.16.16;www.tavernedebrennus.com;
31166;Michel SARRAN;;;43.607279;1.4346103;restaurant;french;;21 Boulevard Armand Duportal;31000;;;www.michel-sarran.com;
31167;La Mignardise;;alamignardise@aol.com;43.6203093;1.4360432;restaurant;french;; ;;;33561233147;www.restaurant-lamignardise.com;
31168;Le Menhir;;;43.6010907;1.4571487;restaurant;;; ;;;;;
31169;Le Metropolitan;;;43.5915562;1.4796983;restaurant;;; ;;;;;
31170;;;;43.5654948;1.5108699;restaurant;chinese;; ;;;;;
31171;Le Mauricia;;;43.5774804;1.4223697;restaurant;;;330 Route de Seysses;;;;;
31172;;;;43.5924621;1.4511361;restaurant;sandwich;; ;;;;;
31173;L'Entrecôte;;;43.6067064;1.447284;restaurant;french;; ;;;;www.entrecote.fr/french/bd-strasbourg-31000-toulouse,15,15,section,modules,contenu-mc.html;
31174;Classico Café;;;43.599079;1.4439734;restaurant;regional;; Rue des Filatiers;31000;;;www.classico-cafe.com;
31175;La Brasserie Chaubet;;;43.606544;1.4827871;restaurant;regional;;161;;;;www.brasserie-chaubet.fr/;
31176;Pizza Arlequin;;;43.597263;1.4269922;restaurant;pizza;;34;;;;;
31177;Soleil d'Angkor;;;43.59704;1.4257746;restaurant;chinese;;48;;;;;
31178;Le citron bleu;;;43.598816;1.4427994;restaurant;;; Rue des Paradoux;31000;Toulouse;;;
31179;Borriquito Loco;;;43.598816;1.4427383;restaurant;;;25;;;;;
31180;;;;43.62024;1.4572713;restaurant;asian;;109;;;;;
31181;;;;43.61807;1.4555861;restaurant;pizza;;44;;;;;
31182;Côté Garonne;;;43.5930123;1.443127;restaurant;french;; ;;;;;
31183;La Tosca;;;43.595293;1.4162535;restaurant;pizza;;74 Avenue de Lombez;;Toulouse;;;
31184;Le Fontaine Lestang;;;43.587204;1.4166833;restaurant;;;61;;;;;
31185;facefood pizza;;;43.604645;1.4300207;restaurant;pizza;;4 Allée du Niger;;;;www.facefoodpizza.fr;
31186;Bharati Palais;;;43.6168324;1.4368235;restaurant;indian;; ;;;;;
31187;Le bicoq;;;43.5992231;1.4428241;restaurant;;; ;;;;;
31188;;;;43.6407559;1.4629151;restaurant;;; ;;;;;
31189;Le fil à la Une;;;43.599521;1.440748;restaurant;french;;6 place du Pont Neuf;31000;;;www.filalaune.fr/;
31190;La Comida;;;43.6001368;1.4410149;restaurant;;Bar - Tapas; ;;;33534336119;www.lacomida.fr/;
31191;Le L;;;43.6013014;1.4419958;restaurant;;; ;;;33561216905;www.restaurantlel.fr/;
31192;La Faim des Haricots;;;43.6018768;1.4439259;restaurant;;; ;;;33561224925;www.lafaimdesharicots.fr/;
31193;El Chivito;;;43.60443;1.4395021;restaurant;latin_american;; ;;;;;
31194;Le Dragon D'Or;;;43.629468;1.4329217;restaurant;chinese;; ;;;;;
31195;Auberge du Tranchoir;;;43.6021532;1.4427155;restaurant;french;;1B rue du May;31000;;33561216657;www.letranchoir.fr/;
31196;Le Vauquelin;;;43.5837674;1.4017996;restaurant;;; Rue Nicolas-Louis Vauquelin;;Toulouse;;;
31197;La cuisine de Jean;;;43.5762972;1.4551901;restaurant;french;;18 avenue Albert Bedouce;31400;;;;
31198;Séoul;;;43.6044918;1.4387122;restaurant;asian;Restaurant Coréen; ;;;;;
31199;Au Coin de la Rue;;;43.6040144;1.4363264;restaurant;;; ;;;;;
31200;Cappadoce;;;43.6028259;1.4372653;restaurant;;; ;;;;;
31201;Le Bakassi;;;43.5950784;1.4433797;restaurant;afrique;; ;;;;;
31202;Les sales gosses;;;43.604773;1.4509467;restaurant;french;;7 Rue de l'Industrie;31000;;;;
31203;La Pagode;;;43.601964;1.4483558;restaurant;asian;; ;;;33561210878;;
31204;Le Cantou;;;43.6122724;1.3841489;restaurant;;; ;;;;;
31205;La Plage;;;43.5884811;1.4464097;restaurant;;; ;;;;;
31206;La belle chaurienne;;;43.6077285;1.4269331;restaurant;;; ;;;;;
31207;En Marge;;;43.597343;1.4473949;restaurant;french;; ;;;;;
31208;Chez Alessandro;;;43.6119171;1.4451825;restaurant;italian;;22 Rue de la Concorde;31000;;;;
31209;La Grand' Pizzeria;;;43.6049195;1.4502144;restaurant;italian;;4 rue Castellane;31000;;;;
31210;La Grignotière;;;43.5910751;1.4188983;restaurant;french;; ;;;;;
31211;Mon canard;;;43.6113364;1.437201;restaurant;regional;; ;;;33561213445;www.restaurantmoncanard.com;
31212;Cantine;;;43.6182358;1.4684876;restaurant;;; ;;;;;
31213;Bistro Crampel;;;43.5841757;1.4516115;restaurant;;; ;;;;;
31214;La Nouvelle Belgique;;;43.6015758;1.4576287;restaurant;;;21 Rue du Pont Guilhemery;31500;;;www.la-nouvelle-belgique-31.com/;
31215;Le King;;;43.5748584;1.4514837;restaurant;vietnamese;; ;;;;;
31216;Pizzéria Belfort;;;43.6088773;1.4505584;restaurant;;; ;;;;;
31217;L'extrapade;;;43.5988847;1.4329669;restaurant;fish;; ;;;;;
31218;Le plaisir à la toque;;;43.6021645;1.4383402;restaurant;;; ;;;;;
31219;Sushi Kan;;;43.5824056;1.4489063;restaurant;japanese;; ;;;;;
31220;Les Quatre Saisons;;;43.5833149;1.4485576;restaurant;chinese;; ;;;;;
31221;Restaurant Universitaire;;;43.6021608;1.4557372;restaurant;;; ;;;;;
31222;Toulouse Croisières;;;43.6100962;1.4532694;restaurant;;; ;;;;;
31223;L'Accolade;;;43.5952336;1.443282;restaurant;;; ;;;;;
31224;Espace Vital;;;43.6124399;1.3781898;restaurant;;; ;;;;;
31225;La Mémoire;;;43.6117299;1.437673;restaurant;;; ;;;;;
31226;Naraï Thaï;;;43.609215;1.4327914;restaurant;;; ;;;;;
31227;Papagayo;;;43.6060266;1.4388987;restaurant;french;;31 Rue Deville;31000;;;;
31228;Au Buron;;;43.6078149;1.4385685;restaurant;regional;; ;;;33561221465;;
31229;El Fassia;;;43.6061126;1.4415331;restaurant;arab;; ;;;33534449191;restaurant-elfassia.com/;
31230;Emile's Pizza;;;43.6074938;1.4402962;restaurant;pizza;; ;;;;;
31231;Le Galuchat;;;43.6069865;1.4401314;restaurant;pancake;; ;;;;;
31232;Midi Minuit;;;43.6075185;1.4397499;restaurant;;; ;;;33561218070;https://fr-fr.facebook.com/midiminuittoulouse;
31233;Le Saint-Sauvage;;;43.6079153;1.4387215;restaurant;regional;; ;;;33561235686;;
31234;Le Temps des Tartines;;;43.606148;1.4409458;restaurant;french;; ;;;33534259828;;
31235;Mak Thaï;;;43.6074982;1.4403639;restaurant;thai;; ;;;;;
31236;La coupole;;;43.6002532;1.4539682;restaurant;;;6 Place Dominique Martin Dupuy;31000;;;;
31237;Domino's Pizza;;;43.6003366;1.4526862;restaurant;pizza;;37 rue des frères Lion;31000;;;www.dominos.fr;
31238;Le Goût en Train;;;43.6056709;1.4461106;restaurant;;; ;;;;;
31239;L'amour a pizza;;;43.5970433;1.4219923;restaurant;pizza;; ;;;;;
31240;La pente douce;;;43.5969441;1.421625;restaurant;regional;; ;;;;;
31241;La Tantina de la Playa;;;43.5859323;1.4653291;restaurant;regional;; ;;;;;
31242;Le rose bonbon;;;43.6046696;1.4506051;restaurant;french;;6 Bis  Impasse Colombette;31000;;;;
31243;Le télégramme;;;43.6056272;1.4496086;restaurant;regional;; ;;;;;
31244;Brasserie du Fauboug Saint-Simon;;;43.5628242;1.3720386;restaurant;;; ;;;;;
31245;7 Place Saint-Sernin;;;43.6088428;1.4415621;restaurant;regional;; ;;;;www.7placesaintsernin.com;
31246;Al Paìs;;;43.6088155;1.3796539;restaurant;french;;174;;;;;
31247;Le Pyrénéen;;;43.6053092;1.44846;restaurant;;;14 allée du Président Roosevelt;31000;;;www.lepyreneen.com;
31248;Eau de Folles;;;43.6053299;1.4484721;restaurant;french;;14 allée du Président Roosevelt;31000;;;;
31249;Chez Shun;;;43.6068358;1.4518161;restaurant;japanese;;33;;;33561993920;;
31250;Seng Kuon;;;43.5964756;1.4241508;restaurant;chinese;;67 Avenue Etienne Billières;31300;;;;
31251;La Grange;;;43.6281601;1.4111864;restaurant;;; ;;;;;
31252;Le Bulle;;;43.6055021;1.4463199;restaurant;french;; ;;;;;
31253;Le Bistrot des Halles;;;43.5974399;1.430458;restaurant;french;;17 Place Roguet;31300;;;;
31254;M03 Restaurant GALAXY;;;43.6104516;1.3666363;restaurant;;; ;;;;;
31255;M04 Beluga;;;43.6118788;1.369981;restaurant;;; ;;;;;
31256;Non lá;;;43.5776597;1.4507108;restaurant;;; ;;;;;
31257;Le Barbu;;;43.6009563;1.4416687;restaurant;french;;9 Rue Clémence Isaure;;;33561219662;lebarbu.jimdo.com/;
31258;Le Pic;;;43.5718557;1.4238873;restaurant;;; ;;;;;
31259;La crèperie;;;43.6019219;1.4444596;restaurant;pancake;; ;;;33561122352;www.lacreperietoulouse.com;
31260;Aux délices du Cap Vert;;;43.6149939;1.4517779;restaurant; portuguese  african  cap vert;;21 Avenue de Lyon;;;;;
31261;Rôtisserie des Carmes;;;43.5978962;1.4439122;restaurant;regional;; ;;;;;
31262;Pizzetta di Roma;;;43.6014013;1.4448096;restaurant;pizza;; ;;;33561235865;www.pizzettadiroma.com;
31263;Bapz;;;43.6006049;1.4423688;restaurant;coffee_shop;;13 Rue de la Bourse;31000;;;;
31264;La Maison de la Pizza;;;43.5812167;1.4493358;restaurant;pizza;; ;;;33561143539;;
31265;Les 2 Soeurs Hoang;;;43.590628;1.4451851;restaurant;asian;; ;;;;;
31266;Restaurant Bio-Veg;;;43.5911047;1.4449772;restaurant;;; ;;;;;
31267;Kilin;;;43.5873309;1.4468694;restaurant;;; ;;;;;
31268;La Dolce Vita;;;43.5879759;1.4463329;restaurant;;; ;;;;;
31269;Une Belle Aurore;;;43.5886364;1.4460754;restaurant;;; ;;;;;
31270;Yaki Zakana;;;43.589126;1.4461613;restaurant;;; ;;;;;
31271;Le Sud d'Asie;;;43.5897244;1.4459252;restaurant;;; ;;;;;
31272;Pizza l'Alexandra;;;43.589872;1.4458394;restaurant;;; ;;;;;
31273;Le Santal;;;43.5914572;1.4448094;restaurant;;; ;;;;;
31274;La Pizzathèque;;;43.591667;1.4447236;restaurant;;; ;;;;;
31275;Izakaya Sushi;;;43.5929958;1.445775;restaurant;;; ;;;;;
31276;Underbar;;;43.6019234;1.4427924;restaurant;;Bar à Tapas & Restaurant; ;;;33534338764;underbar.fr/;
31277;La Table d'Ariane;;;43.559789;1.4956421;restaurant;;; ;;;;;
31278;Burger' N'Co;;;43.6011291;1.4541189;restaurant;burger;; Rue Pierre Paul Riquet;31000;Toulouse;567687406;www.burger-toulouse.fr/;
31279;Chez Moustache;;;43.6420277;1.4301259;restaurant;french;; ;;;;;
31280;L'air de Famille;;;43.6066403;1.4470187;restaurant;french;; ;;;;www.lairdefamille-restaurant.com;
31281;;;;43.626396;1.433512;restaurant;;; ;;;33561578854;;
31282;La Famiglia;;;43.5960221;1.419257;restaurant;pizza;; Barrière de Lombez;;Toulouse;;;
31283;Le Petit Creux;;;43.5960058;1.4191623;restaurant;;; Barrière de Lombez;;Toulouse;;;
31284;Chez Ferdinand;;;43.6014263;1.4536983;restaurant;;; ;;;;;
31285;Les Jardins de l'Olympe;;;43.6258563;1.4025418;restaurant;;; ;;;;;
31286;;;;43.6201396;1.4361672;restaurant;;; ;;;;;
31287;;;;43.6207647;1.4354054;restaurant;;; ;;;;;
31288;au Peilharote;;;43.6024279;1.4377391;restaurant;french;;23 Rue des Blanchers;;;;peilharote.fr;
31289;La Pergola;;contact@lacompagniedespergos.fr;43.5902811;1.3790474;restaurant;regional;; Avenue de Lardenne;;Toulouse;33561492910;lacompagniedespergos.fr/;
31290;La Réunion Gourmande;;;43.5896777;1.4200902;restaurant;;; ;;;;;
31291;La Roulotte;;;43.6014692;1.4407702;restaurant;french;;40B Rue Peyrolières;31000;;;www.laroulotte-toulouse.fr/;
31292;La Bascule du Chevillard;;;43.5927705;1.4431787;restaurant;;; ;;;;;
31293;Soleil d'Istanbul;;;43.587937;1.4239526;restaurant;;; ;;;;;
31294;Le Bistrot Éric;;;43.6009403;1.4568188;restaurant;;; ;;;;;
31295;Dolce Vita;;;43.6014038;1.4570522;restaurant;italian;; ;;;;;
31296;Pizza Pizza;;;43.6093354;1.4467135;restaurant;pizza;; ;;;;;
31297;Le Bistrot de Julie;;;43.5923198;1.4438438;restaurant;;; ;;;;;
31298;Gayat Nova;;;43.5785076;1.4503846;restaurant;;; ;;;;;
31299;La table de William;;;43.578046;1.4540766;restaurant;french;;14 rue Erasme;31400;;;latabledewilliam.over-blog.com/;
31300;L'Atelier de l'Écharpe;;;43.6002622;1.441469;restaurant;;; ;;;;;
31301;Le Katana;;;43.5989126;1.4415961;restaurant;japanese;; ;;;;;
31302;Le Renfort du Palais;;;43.5937185;1.4438224;restaurant;;; ;;;;;
31303;Le Rital;;;43.5568761;1.4821175;restaurant;sandwich;; ;;;;;
31304;Yard;;;43.6064361;1.4423902;restaurant;burger;; ;;;;https://www.facebook.com/yardlaburgerfactory;
31305;Le Gallus;;;43.6060623;1.4424687;restaurant;pancake;; ;;;;;
31306;Pizza Angelo;;;43.6058367;1.4425344;restaurant;pizza;; ;;;;;
