id;raison_sociale;mobile;mail;latitude;longitude;type;categorie;adresse;code_postale;commune;telephone;internet;classement;marque;tourisme;;
32;Brasserie La Marina;;;44.663223;-1.1683194;Restaurant;Restauration rapide;24  boulevard Veyrier Montagnères;33120;ARCACHON;+33 5 56 83 26 54;;;;;24; boulevard Veyrier Montagnères
33;El Bocadillo;;;44.662758;-1.1638831;Restaurant;Restauration rapide;161  boulevard de la plage;33120;ARCACHON;+33 5 56 83 66 34;;;;;161; boulevard de la plage
34;El Bocadillo;;;44.661446;-1.1725291;Restaurant;Restauration rapide;19 avenue du Maréchal de Lattre de Tassi ;33120;ARCACHON;+33 5 40 70 27 07;;;;;19 avenue du Maréchal de Lattre de Tassi;
35;La Petite Fraise;;;44.66266;-1.1645753;Restaurant;Restauration rapide;163  boulevard de la plage;33120;ARCACHON;+33 5 56 83 23 38;;;;;163; boulevard de la plage
36;Le Papajo;;;44.64127;-1.201973;Restaurant;Restauration rapide;253  boulevard de la Côte d'Argent;33120;ARCACHON;+33 5 56 66 41 95;;;;;253; boulevard de la Côte d'Argent
37;Chez Charlot;;;44.662548;-1.1658277;Restaurant;Restauration rapide;212  boulevard de la plage;33120;ARCACHON;+33 5 56 54 85 55;;;;;212; boulevard de la plage
38;Majlis;;;44.662613;-1.1710131;Restaurant;Restauration rapide;211  boulevard de la Plage;33120;ARCACHON;+33 5 56 54 51 64;;;;;211; boulevard de la Plage
39;Le Saint Eloi;;;44.758133;-1.1332011;Hôtel restaurant;Cuisine traditionnelle;11 boulevard de l'Aérium ;33740;ARES;+33 5 56 60 20 46;www.le-saint-eloi.com/;;;;11 boulevard de l'Aérium;
40;TanyaÂ¿s Tearooms;;;44.766273;-1.139574;Restaurant;BrasserieRestauration à  thème;3 rue Paul Wallerstein ;33740;ARES;+33 5 56 03 25 21;http://tanyas.fr/;;;;3 rue Paul Wallerstein;
41;Sucré-salé;;;44.767662;-1.1394801;Restaurant;Crèperie;20 place de l'Eglise ;33740;ARES;+33 5 56 60 23 97;;;;;20 place de l'Eglise;
42;Le Pitey;;;44.760326;-1.1254549;Restaurant;Cuisine traditionnelle;79 avenue de la Libération ;33740;ARES;+33 5 56 82 16 80;www.lepitey.com/;;;;79 avenue de la Libération;
43;L'Olivier;;;44.76138;-1.1385065;Restaurant;Cuisine traditionnelle;30 rue du 14 Juillet ;33740;ARES;+33 5 56 60 00 97;www.bassindarcachon.com/pro/olivier/;;Famille Plus;;30 rue du 14 Juillet;
44;Chez Alcide;;;44.761356;-1.1416581;Restaurant;Cuisine traditionnelle;1 rue du Commandant Herminier ;33740;ARES;+33 5 56 60 15 09;;;;;1 rue du Commandant Herminier;
45;Duo Gourmand;;;44.764698;-1.1412692;Restaurant;Cuisine traditionnelle;27 boulevard de la Plage ;33740;ARES;+33 5 57 17 23 91;;;;;27 boulevard de la Plage;
46;Chez Pépé;;;44.765923;-1.1500561;Restaurant;Cuisine traditionnelle;Port Ostréicole Cabane 38;33740;ARES;+33 5 57 70 95 68;;;;;Port Ostréicole;Cabane 38
47;Le Piballey;;;44.765903;-1.1499595;Restaurant;Cuisine traditionnelle;port ostreicole d'Arès Cabane 32-33;33740;ARES;+33 5 57 70 08 46;;;;;port ostreicole d'Arès;Cabane 32-33
48;L'Incontournable;;;44.761765;-1.1289551;Restaurant;Cuisine traditionnelleGrillPizzeria;4 rue des Tourterelles ;33740;ARES;+33 5 56 60 27 09;;;Maître Restaurateur;;4 rue des Tourterelles;
49;L'Agora;;;44.767094;-1.1404135;Restaurant;Cuisine traditionnellePizzeria;1 avenue de la Plage ;33740;ARES;+33 5 56 60 02 07;;;;;1 avenue de la Plage;
50;Le San Marco;;;44.765064;-1.1365056;Restaurant;Cuisine traditionnellePizzeria;26 avenue de la Libération ;33740;ARES;+33 5 56 60 05 63;;;Famille Plus;;26 avenue de la Libération;
51;Lou Tchapeou;;;44.777023;-1.11979;Restaurant;Cuisine traditionnelleRestauration à  thème;Zone d'activités ;33740;ARES;+33 5 57 70 80 02;;;;;Zone d'activités;
52;Astropizza;;;44.767517;-1.1393594;Restaurant;Pizzeria;12  place de l'Eglise;33740;ARES;+33 5 56 26 80 97;www.astropizza.net;;;;12; place de l'Eglise
53;Le Dragon Phenix;;;44.763813;-1.1410224;Restaurant;Restauration à  thème;8 rue du 14 Juillet ;33740;ARES;+33 5 56 60 38 02;;;;;8 rue du 14 Juillet;
54;Sushi Bay;;;44.762814;-1.1323763;Restaurant;Restauration à  thème;47 bis  avenue de la Libération;33740;ARES;+33 5 56 82 98 56;www.sushibay.fr;;;;47 bis; avenue de la Libération
55;Arenal;;;44.776306;-1.1420277;Restaurant;Restauration à  thème;65 bis rue du Général de Gaulle ;33740;ARES;+33 5 56 82 90 80;;;;;65 bis rue du Général de Gaulle;
56;Le Makila;;;44.77294;-1.1413657;Restaurant;Restauration à  thème;53 rue du Général de Gaulle ;33740;ARES;+33 5 56 60 73 30;;;Famille Plus;;53 rue du Général de Gaulle;
57;Mc Donald's;;;44.77117;-1.1128163;Restaurant;Restauration rapide;lieu-dit La Montagne ;33740;ARES;+33 5 57 17 00 10;;;;;lieu-dit La Montagne;
58;Les Terrasses de la Plage;;;44.76322;-1.1417198;Restaurant;Restauration rapide;10 avenue de la Plage ;33740;ARES;+33 6 73 60 82 58;www.bar-glacier-tapas-33.fr/;;;;10 avenue de la Plage;
59;Le Wy;;;44.98397;-0.7444524;Restaurant;Bistrot / bar à  vinBrasserie;La Winery rond-point des Vendangeurs;33460;ARSAC;+33 5 56 59 04 91;www.winery.fr;;;;La Winery;rond-point des Vendangeurs
60;Karousel;;;44.884567;-0.284611;Hôtel restaurant;Cuisine traditionnelle;Le Port du Noyer ;33500;ARVEYRES;+33 5 57 51 41 41;www.kyriad-libourne-saint-emilion.fr;;Qualité Tourisme;;Le Port du Noyer;
61;La Gravette;;;44.677685;-1.022458;Restaurant;Brasserie;Le port ;33980;AUDENGE;+33 5 57 17 55 49;;;;;Le port;
62;Les Allées;;;44.682537;-1.0144758;Restaurant;Brasserie;15 allées Ernest de Boissière ;33980;AUDENGE;+33 5 57 70 13 73;;;;;15 allées Ernest de Boissière;
63;Chez Geneviève - Restaurant du Port;;;44.67783;-1.0216641;Restaurant;Cuisine traditionnelle;62  port d'Audenge;33980;AUDENGE;+33 5 56 26 81 05;;;;;62; port d'Audenge
64;La Pizza Royale;;;44.68205;-1.0115182;Restaurant;Pizzeria;2 bis  rue de Bordeaux;33980;AUDENGE;+33 5 56 26 96 43;;;;;2 bis; rue de Bordeaux
65;Tomy's pizza;;;44.68396;-1.015923;Restaurant;Pizzeria;14  allée de Boissière;33980;AUDENGE;+33 6 78 36 42 13;;;;;14; allée de Boissière
66;Al Fantasia;;;44.694588;-0.984435;Restaurant;Restauration à  thème;Zone d'Activités Artisanale Nouvelle 11 rue Hapchot;33980;AUDENGE;+33 5 57 17 31 40;;;;;Zone d'Activités Artisanale Nouvelle;11 rue Hapchot
67;L'Absolu;;;44.49367;-0.142909;Restaurant;Cuisine traditionnelle;2  rue Partarrieu;33124;AUROS;+33 5 56 65 29 23;www.restaurant-absolu.com;;Maître Restaurateur;;2; rue Partarrieu
68;Le Baron Gourmand;;;44.821056;-0.310707;Restaurant;Cuisine traditionnelle;2 route de Montesquieu ;33750;BARON;+33 5 57 24 26 40;www.barongourmand.com;;;Handicap auditifHandicap mental;2 route de Montesquieu;
69;Domaine de Fompeyre;;;44.417965;-0.215435;Hôtel restaurant;Cuisine traditionnelle;route de Mont de Marsan ;33430;BAZAS;+33 5 56 25 98 00;www.cerise-hotels-resorts.com;;;;route de Mont de Marsan;
70;Le Bistrot Saint Jean;;;44.431503;-0.2120125;Restaurant;BrasserieCuisine traditionnelle;42  place de la Cathédrale;33430;BAZAS;+33 5 56 25 18 53;;;;;42; place de la Cathédrale
71;Café d'Oc Créperie;;;44.43204;-0.2110362;Restaurant;Crèperie;13  rue Bragous;33430;BAZAS;+33 5 56 25 96 08;www.cafedoc.com;;;;13; rue Bragous
72;Crèperie La Jolie Farandole;;;44.431473;-0.2124953;Restaurant;CrèperieRestauration rapide;21 rue Fondespan ;33430;BAZAS;+33 5 56 65 17 84;;;;;21 rue Fondespan;
73;Les Remparts;;;44.431206;-0.2117228;Restaurant;Cuisine traditionnelle;49  place de la Cathédrale;33430;BAZAS;+33 5 56 25 95 24;www.restaurant-les-remparts.com;;;;49; place de la Cathédrale
74;L'Indigo;;;44.43151;-0.2130854;Restaurant;Cuisine traditionnelle;25 rue Fondespan ;33430;BAZAS;+33 5 56 25 25 52;;;;;25 rue Fondespan;
75;Noosa Café;;;44.431812;-0.2115914;Restaurant;Restauration rapide;31 place de la Cathédrale ;33430;BAZAS;+33 5 56 25 45 78;;;;;31 place de la Cathédrale;
76;La Passerelle;;;44.700916;-0.4537721;Hôtel restaurant;Cuisine traditionnelle;14  rue de la Passerelle;33640;BEAUTIRAN;+33 5 57 54 84 13;;;;;14; rue de la Passerelle
77;Château de la Tour;;;44.638805;-0.3221547;Hôtel restaurant;Cuisine traditionnelle;2  avenue de la Libération;33410;BEGUEY;+33 5 56 76 92 00;www.hotel-restaurant-chateaudelatour.com;;;;2; avenue de la Libération
78;La Paillote;;;45.118206;-0.5916738;Restaurant;Cuisine traditionnelle;4 Loumède ;33390;BERSON;+33 6 15 27 94 44;;;;;4 Loumède;
79;Restaurant du Golf de Teynac;;;44.858913;-0.365605;Restaurant;Cuisine traditionnelle;Domaine de Teynac ;33750;BEYCHAC-ET-CAILLAU;+33 5 56 21 76 01;www.golf-teynac.com;;;;Domaine de Teynac;
80;Le Terminus;;;44.6374;-0.9668962;Hôtel restaurant;Brasserie;8  rue de la Gare;33380;BIGANOS;+33 5 56 82 11 36;;;;;8; rue de la Gare
81;Hôtel-restaurant de France;;;44.64416;-0.9786361;Hôtel restaurant;Cuisine traditionnelle;99  avenue de la Libération;33380;BIGANOS;+33 5 56 82 61 08;;;;;99; avenue de la Libération
82;Fournil Brasserie Biganos;;;44.63382;-0.959115;Restaurant;Brasserie;Parc commercial Portes du Delta ;33380;BIGANOS;+33 5 56 60 70 70;;;;;Parc commercial Portes du Delta;
83;Au Croissant Doré;;;44.64002;-0.9541015;Restaurant;Brasserie;24 rue Gutenberg Centre commercial Auchan;33380;BIGANOS;+33 5 56 26 74 63;www.aucroissantdorebiganos.e-monsite.com;;;;24 rue Gutenberg;Centre commercial Auchan
84;Flunch;;;44.642113;-0.976619;Restaurant;Cafétéria; rue des Fonderies Centre commercial Auchan;33380;BIGANOS;+33 5 56 26 29 98;www.flunch.fr;;;; rue des Fonderies;Centre commercial Auchan
85;L'Essentiel;;;44.63565;-0.9738564;Restaurant;Cuisine traditionnelle;49  avenue de la Côte d'Argent;33380;BIGANOS;+33 5 56 82 62 81;;;;;49; avenue de la Côte d'Argent
86;Ch'ti Boà¯en;;;44.637356;-0.962076;Restaurant;Cuisine traditionnelle;rue des Fonderies ;33380;BIGANOS;+33 5 57 70 63 96;;;;;rue des Fonderies;
87;L'Auberge de Biganos;;;44.6371;-0.9671831;Restaurant;Cuisine traditionnelle;18  route des Lacs;33380;BIGANOS;+33 5 56 82 78 79;;;;;18; route des Lacs
88;Le Millésime;;;44.633514;-0.9773647;Restaurant;Cuisine traditionnelle;30  avenue de la Côte d'Argent;33380;BIGANOS;+33 5 56 82 94 84;;;;;30; avenue de la Côte d'Argent
89;La Pizza Catalane;;;44.642113;-0.976619;Restaurant;Pizzeria;allée Maurice Lafon ;33380;BIGANOS;+33 5 56 26 36 59;;;;;allée Maurice Lafon;
90;Le Syracuse;;;44.637325;-0.9673099;Restaurant;Pizzeria;1  rue de la Gare;33380;BIGANOS;+33 5 57 70 63 84;;;;;1; rue de la Gare
91;Pizz Bar;;;44.637882;-0.9683456;Restaurant;Pizzeria;2 avenue de la Libération ;33380;BIGANOS;+33 5 57 70 10 70;;;;;2 avenue de la Libération;
92;Pizza Boà¯enne;;;44.63878;-0.9789839;Restaurant;Pizzeria;4  avenue des Boà¯ens;33380;BIGANOS;+33 5 56 26 79 04;;;;;4; avenue des Boà¯ens
93;Asie gourmande;;;44.634186;-0.9600806;Restaurant;Restauration à  thème;rue Fonderies ;33380;BIGANOS;+33 5 57 70 99 41;;;;;rue Fonderies;
94;La pause de Marie;;;44.63362;-0.9792423;Restaurant;Restauration à  thème;53 avenue des Boà¯ens ;33380;BIGANOS;+33 5 56 82 93 40;;;;;53 avenue des Boà¯ens;
95;Au ke'boà¯ens;;;44.6405;-0.9734579;Restaurant;Restauration rapide;44 ter avenue de la Libération ;33380;BIGANOS;+33 5 57 17 67 03;;;;;44 ter avenue de la Libération;
96;Au P'tit en k;;;44.637978;-0.9684506;Restaurant;Restauration rapide;4  avenue de la Libération;33380;BIGANOS;+33 7 86 51 79 38;;;;;4; avenue de la Libération
97;Chaud & Froid;;;44.645267;-0.9837711;Restaurant;Restauration rapide;5  rue du Port;33380;BIGANOS;+33 6 82 76 58 88;;;;;5; rue du Port
98;Mc Donald's;;;44.63699;-0.9555371;Restaurant;Restauration rapide;3  rue Gustave Eiffel;33380;BIGANOS;+33 5 57 17 09 08;www.mcdonalds.fr;;;;3; rue Gustave Eiffel
99;L'Hostellerie des Criquets;;;44.915577;-0.6269004;Hôtel restaurant;Cuisine traditionnelleBistrot / bar à  vin;130  avenue du 11 novembre;33290;BLANQUEFORT;+33 5 56 35 09 24;www.lescriquets.com;;;;130; avenue du 11 novembre
100;A la belle époque;;;44.749516;-0.0752689;Restaurant;Cuisine traditionnelle;1  place de la République;33540;BLASIMON;+33 5 56 61 44 02;;;;;1; place de la République
101;Auberge du Porche;;;45.12328;-0.662527;Hôtel restaurant;Cuisine traditionnelle;5  rue Ernest Régnier;33390;BLAYE;+33 5 57 42 22 69;www.auberge-du-porche.com;;Tables et Auberges de FranceMaître Restaurateur;;5; rue Ernest Régnier
102;La Citadelle;;;45.126842;-0.662941;Hôtel restaurant;Cuisine traditionnelle;place d'Armes ;33390;BLAYE;+33 5 57 42 17 10;www.hotellacitadelle.com;3 cheminées3 cocottes;;;place d'Armes;
103;Le Bastion;;;45.12818;-0.6654667;Restaurant;Crèperie;Citadelle de Vauban ;33390;BLAYE;+33 5 57 42 14 50;www.lebastion.fr;;;;Citadelle de Vauban;
104;L'Avant Scène;;;45.128063;-0.6667947;Restaurant;Cuisine traditionnelle;place d'armes La citadelle;33390;BLAYE;+33 5 57 42 17 10;www.hotellacitadelle.com;;;;place d'armes;La citadelle
105;Le Gavroche;;;45.125824;-0.6629861;Restaurant;Cuisine traditionnelle;14 rue neuve ;33390;BLAYE;+33 5 57 58 21 03;;;;;14 rue neuve;
106;Le Petit Port;;;45.12623;-0.6638574;Restaurant;Cuisine traditionnelle;3  cours du Port;33390;BLAYE;+33 5 57 42 12 52;;;;;3; cours du Port
107;Le Prémayac;;;45.125237;-0.6638252;Restaurant;Cuisine traditionnelle;25  rue Prémayac;33390;BLAYE;+33 5 57 42 19 57;www.restaurant-lepremayac.com;;;;25; rue Prémayac
108;Le P'tit Canon;;;45.127895;-0.6668186;Restaurant;Cuisine traditionnelleBistrot / bar à  vinBrasserie;place d'Armes Citadelle de Vauban;33390;BLAYE;+33 9 51 19 11 85;;;;;place d'Armes;Citadelle de Vauban
109;Pizzeria Trattoria Gennaro;;;45.13843;-0.6543302;Restaurant;Pizzeria;111 rue de l'Hôpital ;33390;BLAYE;+33 5 57 42 11 90;;;;;111 rue de l'Hôpital;
110;La Casa;;;45.125835;-0.6631708;Restaurant;Pizzeria;10  rue Neuve;33390;BLAYE;+33 5 57 42 81 39;;;;;10; rue Neuve
111;Dragon Bleu;;;45.130104;-0.6610679;Restaurant;Restauration à  thème;49 rue Saint-Romain ;33390;BLAYE;+33 5 57 32 74 80;;;;;49 rue Saint-Romain;
112;Le Ki-Lo-Ré-Di;;;45.128304;-0.6657671;Restaurant;Restauration rapide;10 avenue du 144e RI La citadelle;33390;BLAYE;+33 6 86 88 40 79;;;;;10 avenue du 144e RI;La citadelle
113;Chais Saint Louis;;;44.858856;-0.5695132;Hôtel restaurant;BrasserieCuisine traditionnelle;Hôtel Mercure Château Chartrons  81 cours Saint Louis;33000;BORDEAUX;+33 5 56 43 15 00;www.hotel-chateau-chartrons-bordeaux.fr/fr/restaurant_bar.html;;;;Hôtel Mercure Château Chartrons; 81 cours Saint Louis
114;Les Quat' Saisons;;;44.886944;-0.5453571;Hôtel restaurant;BrasserieCuisine traditionnelle;24  rue Edmond Besse;33000;BORDEAUX;+33 5 56 50 71 63;www.restaurant-lesquatsaisons.fr;;;;24; rue Edmond Besse
115;Le Pressoir d'Argent;;;44.842487;-0.5746039;Hôtel restaurant;Cuisine traditionnelle;Grand Hotel de Bordeaux & Spa  02 place de la Comédie;33000;BORDEAUX;+33 5 57 30 43 04;www.pressoir-argent.com;;;Handicap auditifHandicap mentalHandicap moteurHandicap visuel;Grand Hotel de Bordeaux & Spa; 02 place de la Comédie
116;La Table de Burdigala;;;44.839676;-0.5868545;Hôtel restaurant;Cuisine traditionnelle;Hôtel le Burdigala  115 rue Georges Bonnac;33000;BORDEAUX;+33 5 56 90 16 16;www.burdigala.com;;Maître Restaurateur;;Hôtel le Burdigala; 115 rue Georges Bonnac
117;Hepburn Restaurant;;;44.829727;-0.5593796;Hôtel restaurant;Cuisine traditionnelle;Hôtel Mercure Bordeaux Gare 28-30 rue de Tauzia;33000;BORDEAUX;+33 5 56 92 21 21;www.mercure.com;;;;Hôtel Mercure Bordeaux Gare;28-30 rue de Tauzia
118;L'Aquitania;;;44.88897;-0.5673628;Hôtel restaurant;Cuisine traditionnelle;Hôtel Pullman Bordeaux Aquitania 1 avenue Jean-Gabriel Domergue;33000;BORDEAUX;+33 5 56 69 65 11;www.pullmanhotels.com;;;;Hôtel Pullman Bordeaux Aquitania;1 avenue Jean-Gabriel Domergue
119;Le Bar de l'Echanson;;;44.889763;-0.5644598;Hôtel restaurant;Cuisine traditionnelle;Hôtel Mercure Bordeaux-Lac rue du Grand Barail;33000;BORDEAUX;+33 5 56 43 36 72;www.mercure.com;;;;Hôtel Mercure Bordeaux-Lac;rue du Grand Barail
120;Le Gallopin;;;44.833393;-0.5935479;Hôtel restaurant;Cuisine traditionnelle;Hôtel All Seasons Bordeaux Mériadeck avenue du Général de Larminat;33000;BORDEAUX;+33 5 56 24 01 39;;;;;Hôtel All Seasons Bordeaux Mériadeck;avenue du Général de Larminat
121;Le Novotel Café Bordeaux Lac;;;44.88923;-0.5670891;Hôtel restaurant;Cuisine traditionnelle;avenue Jean-Gabriel Domergue ;33300;BORDEAUX;+33 5 56 43 65 00;www.novotel.com;;;;avenue Jean-Gabriel Domergue;
122;Le Novotel Café Mériadeck;;;44.88897;-0.5673628;Hôtel restaurant;Cuisine traditionnelle;Novotel Bordeaux Centre 45 cours du Marechal Juin;33000;BORDEAUX;+33 5 56 51 46 46;www.novotel.com;;;;Novotel Bordeaux Centre;45 cours du Marechal Juin
123;Olicia;;;44.82989;-0.6073336;Hôtel restaurant;Cuisine traditionnelle;Hôtel Alton  107 rue de la Pelouse de Douet;33000;BORDEAUX;+33 5 56 99 55 55;www.hotel-alton.com;;;;Hôtel Alton; 107 rue de la Pelouse de Douet
124;Bateau d'Emile;;;45.014435;-0.095812;Restaurant;Cuisine traditionnelle;Route Nationale 89 Penot;33230;ABZAC;+33 5 57 69 62 67;www.lebateaudemile.fr;;;;Route Nationale 89;Penot
125;Le Ti Pont;;;44.470238;-0.02142;Restaurant;Cuisine traditionnellePizzeria;31  Aillas Le Grand;33124;AILLAS;+33 5 56 65 30 25;;;;;31; Aillas Le Grand
126;L'Espace Tillac;;;44.92714;-0.4903658;Restaurant;Cuisine traditionnelleRestauration à  thème;29  rue de la Mouline;33440;AMBARES-ET-LAGRAVE;+33 5 56 06 47 71;www.restaurant-espace-tillac.com;;;;29; rue de la Mouline
127;L'Etoile;;;44.73022;-1.0819162;Hôtel restaurant;Cuisine traditionnelle;13  place de l'Etoile;33510;ANDERNOS-LES-BAINS;+33 5 56 82 00 29;;;;;13; place de l'Etoile
128;Auberge Le Chène;;;44.73457;-1.0838526;Hôtel restaurant;Cuisine traditionnelle;54  boulevard de la République;33510;ANDERNOS-LES-BAINS;+33 5 56 82 05 10;;;;;54; boulevard de la République
129;Le Café de la Plage;;;44.739418;-1.1006927;Restaurant;Bistrot / bar à  vinBrasserieCuisine traditionnelle;9  avenue du Général de Gaulle;33510;ANDERNOS-LES-BAINS;+33 5 56 26 89 97;cafeplageandernos.fr;;;;9; avenue du Général de Gaulle
130;Le Florentin;;;44.74125;-1.0985326;Restaurant;BrasserieCuisine traditionnelle;16  avenue Pasteur;33510;ANDERNOS-LES-BAINS;+33 5 56 82 55 63;;;;;16; avenue Pasteur
131;Les Temps Modernes;;;44.760998;-1.0703086;Restaurant;BrasserieCuisine traditionnelleGrillPizzeria;2  rue Panhard et Levassor;33510;ANDERNOS-LES-BAINS;+33 5 57 17 42 68;www.lestempsmodernes-restaurant.fr;;;;2; rue Panhard et Levassor
